Metric,RF_mean,RF_std,LSTM_mean,LSTM_std
Precision,0.9253175816525425,0.01531683160225608,0.9463798788502317,0.010941022954472567
Recall,0.9329536857792963,0.014003385884345477,0.9466641883720927,0.009430748894124713
F1,0.928983969816283,0.00938053085162457,0.9464443372516336,0.00559989896555867
AUC,0.9842627351039083,0.002209115813063896,0.9914601957311104,0.0011983937734581687
MCC,0.8569314177304437,0.011013907419229904,0.8921574511338776,0.006903325076233351
Kappa,0.856631718949495,0.010947091290895404,0.8920104684793623,0.006979770844226078
