Metric,RF,LSTM
Precision,0.9087989723827874,0.8943236714975845
Recall,0.933377308707124,0.9769129287598944
F1,0.9209241783273674,0.9337957124842371
AUC,0.9814501460340708,0.9905250004618674
MCC,0.8428874546212854,0.8676893601126299
Kappa,0.8425901269681192,0.864122027964113
