Metric,RF,LSTM
Precision,0.9318018664752333,0.9496096522356281
Recall,0.9147286821705426,0.9429175475687104
F1,0.9231863442389758,0.9462517680339463
AUC,0.9847785398070409,0.9934089469642229
MCC,0.8616365274942254,0.9026682856937291
Kappa,0.8615168100078185,0.9026497721561924
