Metric,RF,LSTM
Precision,0.9518900343642611,0.9754529514903565
Recall,0.9379232505643341,0.9418735891647856
F1,0.9448550312677658,0.9583692219351134
AUC,0.9869975016056186,0.9929766018737097
MCC,0.8717305853476778,0.9050961692931034
Kappa,0.8716015087469973,0.9043633224618419
