Metric,RF_mean,RF_std,LSTM_mean,LSTM_std
Precision,0.9253175816525425,0.01531683160225608,0.9422792765553138,0.02643117853853392
Recall,0.9329536857792963,0.014003385884345477,0.9503444171753322,0.01576976142457694
F1,0.928983969816283,0.00938053085162457,0.9458600384508452,0.008512950163910479
AUC,0.9842627351039083,0.002209115813063896,0.991861628018375,0.001231967507103451
MCC,0.8569314177304437,0.011013907419229904,0.8913897256991834,0.01405263686221322
Kappa,0.856631718949495,0.010947091290895404,0.8904766053490742,0.015137042438759588
