Metric,RF,LSTM
Precision,0.9142857142857143,0.9436274509803921
Recall,0.955818294959552,0.9583074051026758
F1,0.9345908122908427,0.9509107749305341
AUC,0.9861233340940772,0.9920006961627312
MCC,0.8629544585061206,0.8981561186654998
Kappa,0.8620067364314177,0.8980406964961442
